C14ID,Period,C14Age,C14SD,LabCode,PhaseCode,SiteID,Material,MaterialSpecies,RectID
1286,LN,4900,185,Hv-19722,EINB2,S1801,charcoal,NULL,1834
1287,LN,4890,90,KN-4444,CAL,S1431,charcoal,Quercus sp.,1902
1288,NULL,4890,80,GrN-11765,HEEK1,S2216,charcoal,NULL,1760
1290,LN,4890,40,KIA-514,RANSD,S5149,animal bone,Equus sp.,2039
1292,LN,4870,35,GrN-23314,STMN1,S3874,human bone,Homo sapiens,1838
1293,LN,4865,50,GrN-23315,STMN1,S3874,human bone,Homo sapiens,1838
1294,LN,4865,40,GrN-12555,ERGO,S1842,charcoal,NULL,2253
1296,LN,4860,27,Hd-17025,RMKW1,S3476,bone,NULL,2254
1297,LN,4855,58,Hd-15941,CAL,S1431,charcoal,Quercus sp.,1902
1298,LN,4850,190,KN-3296,AAC1,S1003,NULL,NULL,1965
1299,LN,4850,30,GrN-23309,KOTH5,S2429,bone,NULL,1838
1300,LN,4845,35,GrN-12703,ERGO,S1842,wood,NULL,2253
1301,NULL,4841,58,KN-4902,WALF2,S4183,bone,NULL,1908
1302,MN,4840,130,Hv-373,DUMM1,S1757,charcoal,NULL,1693
1303,LN,4837,50,KN-4658,CAL,S1431,animal bone,Bos sp.,1902
1304,LN,4835,300,Hv-19717,EINB1,S1801,charcoal,NULL,1834
1305,LN,4824,61,KN-4780,CAL,S1431,animal bone,Bos sp.,1902
1306,NULL,4813,61,KN-4899,WALF2,S4183,bone,NULL,1908
1307,LN,4805,185,Hv-19723,EINB2,S1801,charcoal,NULL,1834
1308,LN,4802,56,Hd-16995,CAL,S1431,charcoal,Quercus sp.,1902
1309,NULL,4800,500,KN-4243,ODG1,S3169,charcoal,NULL,1834
1310,MN,4800,85,Hv-1221,DUMM1,S1757,wood,NULL,1693
1311,LN,4793,33,Hd-17074,RMKW1,S3476,bone,NULL,2254
1312,MN,4790,90,Bln-3690,ALS,S1071,bone,NULL,1838
1313,NULL,4790,80,Bln-3984,WARL1,S4202,charcoal,NULL,1565
1314,LN,4790,35,GrN-23310,KOTH5,S2429,bone,NULL,1838
1315,NULL,4780,50,KIA-3107,NULL,S3382,human bone,Homo sapiens,1838
1316,LN,4771,32,Hd-18799,GROSW1,S2093,human bone,Homo sapiens,1838
1317,LN,4766,31,Hd-19374,PLTZ1,S3325,human bone,Homo sapiens,1838
1318,NULL,4765,65,ETH-15753,NULL,S3547,bone,NULL,2315
1319,NULL,4750,145,Hv-17635,GRSE1,S2091,bone,NULL,1834
1320,EN,4750,110,KN-2270,SISU,S3769,charcoal,NULL,1492
1321,LN,4750,40,GrN-12556,ERGO,S1842,charcoal,NULL,2253
1322,LN,4750,30,KIA-3109,PRE1,S3382,human bone,Homo sapiens,1838
1323,LN,4746,60,Bln-1553,WEIS1,S4214,human bone,Homo sapiens,1907
1324,LN,4745,40,GrN-12557,ERGO,S1842,charcoal,NULL,2253
